University_names,PARCEL_ID,GROSS_AREA,Shape__Area,Shape__Length,Code
Temple University,155059,231347,231347.8646,2519.967862,Green
Temple University,392760,47425,47426.0152,1281.725069,Green
Temple University Medical,13161,29301,29348.38696,707.2776237,Red
Temple University Medical,324604,34030,33840.21454,746.5502593,Red
Temple University Medical,18474,22500,22697.67859,602.6341061,Red
Temple University Medical,272372,506603,498503.4379,3085.638343,Red
University of the Arts,208422,13350,13349.98792,477.9994067,Orange
University of the Arts,542656,38640,39003.83685,931.258573,Orange
University of the Arts,88046,16648,16634.06067,708.5103395,Orange
University of the Arts,139329,13567,13747.56128,469.1568062,Orange
University of the Arts,195308,5193,5213.344788,340.0757943,Orange
University of the Arts,259264,19294,19378.18549,615.5444425,Orange
University of the Arts,288419,4920,5144.847046,327.9307542,Orange
University of the Arts,487380,21150,21081.86078,581.2803342,Orange
La Salle University,16858,1383,1369.703552,208.3376668,Blue
